Comment,Emotion
Mujhe bahut khushi ho rahi hai,joy
Aaj sab kuch perfect lag raha hai,joy
Dil garden garden ho gaya,joy
Main aaj bohot enjoy kar raha hoon,joy
Yeh surprise amazing tha,joy
Mujhe yeh gift bahut pasand aaya,joy
Aaj main muskura raha hoon bina wajah,joy
Sab kuch itna accha kyun lag raha hai,joy
Main bohot lucky feel kar raha hoon,joy
Yeh pal yaadgaar hai,joy
Mujhe ajeeb si ghabrahat ho rahi hai,fear
Lagta hai kuch bura hone wala hai,fear
Main akela mehsoos kar raha hoon,fear
Mujhe raat se darr lagta hai,fear
Dil tez dhadak raha hai,fear
Mujhe samajh nahi aa raha kya karun,fear
Kahin main fail na ho jaun,fear
Mujhe us jagah jaane se darr lagta hai,fear
Mujhe logon se baat karne mein darr lagta hai,fear
Main tension mein hoon,fear
Yeh bilkul bekaar hai,anger
Mujhe yeh bilkul bhi pasand nahi aaya,anger
Tumne galat kiya hai,anger
Mujhe irritate mat karo,anger
Main bohot gusse mein hoon,anger
Yeh sab bardasht ke bahar hai,anger
Tumhari wajah se problem hui hai,anger
Mujhe akela chhod do,anger
Yeh situation frustrate kar rahi hai,anger
Main control lose kar raha hoon,anger
Aaj main bohot relax feel kar raha hoon,joy
Mujhe apni life pasand hai,joy
Sab log aaj khush lag rahe hain,joy
Yeh music mujhe khush kar raha hai,joy
Main apne doston ke saath enjoy kar raha hoon,joy
Aaj ka weather perfect hai,joy
Mujhe apni achievement par garv hai,joy
Yeh moment special hai,joy
Mujhe hasi aa rahi hai,joy
Main dance karne ka mann kar raha hai,joy
Mujhe ajeeb sapne aa rahe hain,fear
Main nervous feel kar raha hoon,fear
Yeh jagah thodi scary hai,fear
Mujhe darr lag raha hai ki main late ho jaunga,fear
Mujhe kisi par trust nahi ho raha,fear
Mujhe future ki chinta ho rahi hai,fear
Mujhe lag raha hai koi mujhe dekh raha hai,fear
Main safe feel nahi kar raha,fear
Mujhe kuch samajh nahi aa raha,fear
Main panic kar raha hoon,fear
Yeh unacceptable hai,anger
Mujhe yeh attitude pasand nahi hai,anger
Tum hamesha galti karte ho,anger
Mujhe ignore mat karo,anger
Yeh limit cross ho gayi hai,anger
Main isse tolerate nahi karunga,anger
Mujhe jawab chahiye abhi,anger
Yeh unfair hai,anger
Tumne mujhe hurt kiya hai,anger
Main ab aur nahi seh sakta,anger
Aaj meri life ka best din hai,joy
Main bohot satisfied hoon,joy
Sab kuch smoothly chal raha hai,joy
Mujhe apne kaam se pyaar hai,joy
Main positive feel kar raha hoon,joy
Mujhe sab kuch achievable lag raha hai,joy
Main grateful hoon,joy
Mujhe apne parivaar ke saath time spend karna pasand hai,joy
Main celebrate kar raha hoon,joy
Yeh ek happy moment hai,joy
Mujhe andhere se bahut darr lagta hai,fear
Main uneasy feel kar raha hoon,fear
Mujhe yeh situation risky lag rahi hai,fear
Mujhe kisi se help chahiye,fear
Mujhe akele rehne se darr lagta hai,fear
Main anxious hoon,fear
Mujhe apni safety ki chinta hai,fear
Mujhe lagta hai main galat jagah par hoon,fear
Main confuse aur dara hua hoon,fear
Mujhe awaaz se darr lag raha hai,fear
Tum bahut rude ho,anger
Yeh behaviour sahi nahi hai,anger
Mujhe disturb mat karo,anger
Main tumse naraz hoon,anger
Yeh sab galat ho raha hai,anger
Mujhe justify mat karo,anger
Tumhari baat galat hai,anger
Mujhe explain karo abhi,anger
Main disappoint hoon aur gusse mein hoon,anger
Yeh sab irritate kar raha hai,anger
Main aaj full energy mein hoon,joy
Mujhe naye ideas aa rahe hain,joy
Main life ko enjoy kar raha hoon,joy
Mujhe har cheez acchi lag rahi hai,joy
Main khushi se bhar gaya hoon,joy
Mujhe yeh jagah pasand hai,joy
Main bohot motivated hoon,joy
Yeh ek perfect day hai,joy
Main proud feel kar raha hoon,joy
Mujhe hasi rok nahi rahi,joy
Mujhe lag raha hai kuch gadbad hai,fear
Main secure feel nahi kar raha,fear
Mujhe apne decision par doubt hai,fear
Mujhe darr hai ki sab kharab ho jayega,fear
Main uncomfortable hoon,fear
Mujhe kisi ka intezaar karte hue darr lag raha hai,fear
Main restless hoon,fear
Mujhe lagta hai main galti kar raha hoon,fear
Mujhe sab kuch ajeeb lag raha hai,fear
Main tension mein hoon aur darr gaya hoon,fear
Yeh sab bakwaas lag raha hai,anger
Mujhe force mat karo,anger
Tum samajh kyun nahi rahe,anger
Yeh totally wrong hai,anger
Mujhe yeh pasand nahi hai bilkul,anger
Main irritate ho chuka hoon,anger
Tumhari wajah se main upset hoon,anger
Yeh mujhe frustrate kar raha hai,anger
Mujhe abhi solution chahiye,anger
Main gusse se bhar gaya hoon,anger

Aaj dil bahut halka lag raha hai,joy
Main bohot khush aur shant hoon,joy
Yeh din mere liye special hai,joy
Mujhe sab kuch bright lag raha hai,joy
Main apne goals ke kareeb hoon,joy
Mujhe aaj sab kuch sahi lag raha hai,joy
Main dil se muskura raha hoon,joy
Yeh khushi bayaan nahi ho rahi,joy
Main apni progress se khush hoon,joy
Aaj sab log friendly lag rahe hain,joy
Main apne aap se satisfied hoon,joy
Mujhe aaj kuch naya seekhne ko mila,joy
Yeh moment priceless hai,joy
Main khush hoon ki sab theek hai,joy
Mujhe life easy lag rahi hai,joy
Main aaj confident feel kar raha hoon,joy
Yeh success mujhe khushi de rahi hai,joy
Main har pal enjoy kar raha hoon,joy
Aaj sab kuch mere favour mein hai,joy
Main apne sapne jee raha hoon,joy
Mujhe ajeeb sa darr mehsoos ho raha hai,fear
Main kisi wajah se uneasy hoon,fear
Dil mein bechaini si ho rahi hai,fear
Mujhe aage ka kuch samajh nahi aa raha,fear
Main insecure feel kar raha hoon,fear
Yeh situation mujhe dara rahi hai,fear
Mujhe apne future ka darr hai,fear
Main risk lene se darr raha hoon,fear
Mujhe lagta hai kuch galat ho jayega,fear
Main apni safety ko lekar pareshan hoon,fear
Mujhe logon par bharosa nahi ho raha,fear
Main andheron mein akela hoon,fear
Mujhe lagta hai main control kho raha hoon,fear
Main unknown cheezon se darrta hoon,fear
Mujhe kisi ki madad chahiye,fear
Main apne thoughts se darr raha hoon,fear
Mujhe yeh jagah unsafe lag rahi hai,fear
Main bahut zyada soch raha hoon,fear
Mujhe awaazon se ghabrahat ho rahi hai,fear
Main situation se bhaagna chahta hoon,fear
Yeh totally unacceptable hai,anger
Main isse bilkul agree nahi karta,anger
Mujhe yeh cheez irritate kar rahi hai,anger
Tumne mera time waste kiya,anger
Main bohot frustrated hoon,anger
Yeh behaviour bilkul galat hai,anger
Mujhe respect nahi mil raha,anger
Main is baat se naraz hoon,anger
Tumhari wajah se sab kharab hua,anger
Main is situation se tang aa gaya hoon,anger
Mujhe jawab abhi chahiye,anger
Yeh sab limit ke bahar hai,anger
Main apna patience lose kar raha hoon,anger
Mujhe yeh tolerate nahi ho raha,anger
Tum sun kyun nahi rahe,anger
Mujhe provoke mat karo,anger
Yeh mujhe upset kar raha hai,anger
Main is baat ko ignore nahi karunga,anger
Mujhe clarity chahiye,anger
Yeh sab bakwaas lag raha hai,anger
Aaj main full happy mood mein hoon,joy
Mujhe sab log acche lag rahe hain,joy
Main apni life celebrate kar raha hoon,joy
Yeh ek perfect moment hai,joy
Mujhe hasi control nahi ho rahi,joy
Main khushi se jhoom raha hoon,joy
Aaj ka din awesome hai,joy
Main apni achievements enjoy kar raha hoon,joy
Mujhe har cheez positive lag rahi hai,joy
Main apne doston ke saath khush hoon,joy
Yeh sab mujhe excite kar raha hai,joy
Main aaj lucky feel kar raha hoon,joy
Mujhe yeh experience amazing laga,joy
Main apni success share karna chahta hoon,joy
Aaj sab kuch smooth chal raha hai,joy
Main apni journey enjoy kar raha hoon,joy
Mujhe apni growth dekh kar khushi ho rahi hai,joy
Main har moment cherish kar raha hoon,joy
Yeh happiness priceless hai,joy
Main bohot hi energetic feel kar raha hoon,joy
Mujhe darr hai ki main fail ho jaunga,fear
Main situation ko handle nahi kar pa raha,fear
Mujhe sab kuch uncertain lag raha hai,fear
Main apne decision se darr raha hoon,fear
Mujhe kuch galat hone ka andesha hai,fear
Main emotionally weak feel kar raha hoon,fear
Mujhe log judge karenge iska darr hai,fear
Main apni problems se darr raha hoon,fear
Mujhe yeh sab overwhelming lag raha hai,fear
Main apne aap par doubt kar raha hoon,fear
Mujhe kisi par trust nahi ho raha,fear
Main risky situation mein hoon,fear
Mujhe control nahi mil raha,fear
Main akela feel kar raha hoon,fear
Mujhe darr hai ki main sab kho dunga,fear
Main situation se escape karna chahta hoon,fear
Mujhe yeh sab samajh nahi aa raha,fear
Main bahut confused aur dara hua hoon,fear
Mujhe apni capability par doubt hai,fear
Main nervous aur tense hoon,fear
Yeh mujhe bohot irritate kar raha hai,anger
Main is cheez se fed up ho gaya hoon,anger
Tumhari baatein galat hain,anger
Mujhe force mat karo kuch karne ke liye,anger
Yeh sab nonsense hai,anger
Main is situation se gussa hoon,anger
Mujhe yeh bilkul pasand nahi hai,anger
Tumne meri baat nahi suni,anger
Main apne emotions control nahi kar pa raha,anger
Yeh mujhe hurt kar raha hai,anger
Mujhe abhi solution chahiye,anger
Main aur tolerate nahi kar sakta,anger
Yeh unfair treatment hai,anger
Main tumse agree nahi hoon,anger
Mujhe ignore mat karo,anger
Yeh mujhe frustrate kar raha hai,anger
Main apna temper lose kar raha hoon,anger
Yeh sab galat direction mein ja raha hai,anger
Mujhe yeh situation pasand nahi,anger
Main bohot annoyed hoon,anger
Main aaj bahut peaceful hoon,joy
Mujhe sab kuch balanced lag raha hai,joy
Main apni life se khush hoon,joy
Aaj sab kuch bright aur clear hai,joy
Main apne aap ko appreciate kar raha hoon,joy
Mujhe har cheez easy lag rahi hai,joy
Main aaj stress free hoon,joy
Yeh ek happy phase hai,joy
Mujhe sab kuch achievable lagta hai,joy
Main apni journey se khush hoon,joy
Mujhe lag raha hai sab theek hoga,fear
Main uneasy aur anxious hoon,fear
Mujhe apni galtiyon ka darr hai,fear
Main apne future ko lekar tension mein hoon,fear
Mujhe lagta hai main ready nahi hoon,fear
Main situation se uncomfortable hoon,fear
Mujhe kisi ka intezaar karte darr lag raha hai,fear
Main emotional pressure feel kar raha hoon,fear
Mujhe yeh sab risky lagta hai,fear
Main apne aap ko safe nahi feel kar raha,fear
Yeh mujhe gussa dilata hai,anger
Main apni limit par hoon,anger
Mujhe respect chahiye,anger
Tumhari baat galat hai,anger
Main yeh accept nahi karunga,anger
Mujhe jawab chahiye,anger
Yeh mujhe disturb kar raha hai,anger
Main is baat se upset hoon,anger
Mujhe justify mat karo,anger
Main ab aur nahi seh sakta,anger
Main khushi se bhar gaya hoon,joy
Aaj mera mood bohot accha hai,joy
Mujhe life beautiful lag rahi hai,joy
Main apne goals achieve kar raha hoon,joy
Mujhe sab kuch perfect lag raha hai,joy
Main apne aap par proud hoon,joy
Mujhe apni mehnat ka result mila,joy
Yeh ek memorable din hai,joy
Main khushi se emotional ho gaya,joy
Mujhe apne logon ke saath rehna pasand hai,joy
Mujhe kuch galat hone ka darr hai,fear
Main apni situation se darr gaya hoon,fear
Mujhe control nahi mil raha,fear
Main apni feelings se confuse hoon,fear
Mujhe sab kuch uncertain lag raha,fear
Main apne aap se darr raha hoon,fear
Mujhe apni life ka darr lag raha hai,fear
Main future ko lekar anxious hoon,fear
Mujhe kisi ka support chahiye,fear
Main apne decisions se ghabra raha hoon,fear
Yeh mujhe bohot frustrate kar raha hai,anger
Main is cheez se tang ho chuka hoon,anger
Tum galat ho,anger
Mujhe yeh pasand nahi hai,anger
Main apna patience kho raha hoon,anger
Yeh situation unacceptable hai,anger
Mujhe yeh sab samajh nahi aa raha aur gussa aa raha hai,anger
Main yeh tolerate nahi karunga,anger
Tumhari wajah se main upset hoon,anger
Main ab react karne wala hoon,anger
